u,v,key,osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ref,bridge,access,name,width,junction,tunnel,fid
25503936,4722746638,0,479127843,True,2,motorway_link,70,False,32.388,"LINESTRING (-8.6406364 41.1660713, -8.6409114 41.1662762)",,,,,,,,0
25503936,281726624,0,"[4256507, 1175924414]",True,,motorway_link,40,False,223.005,"LINESTRING (-8.6406364 41.1660713, -8.6407202 41.1662137, -8.6407599 41.1663352, -8.6407578 41.1664674, -8.6406796 41.1666065, -8.6404816 41.1669122, -8.640433 41.1670937, -8.6404315 41.167301, -8.6404428 41.1676479, -8.6404479 41.1679507, -8.6404667 41.168008)",,,,,,,,1
25503951,1243857957,0,4256513,True,1,motorway_link,40,False,112.268,"LINESTRING (-8.6420446 41.168347, -8.6423385 41.1682776, -8.6425007 41.1682117, -8.6427012 41.1681378, -8.6429355 41.1681355, -8.6430835 41.1681485, -8.6432835 41.1682515)",IC 1,,,,,,,2
25503951,4507024043,0,158906049,True,1,motorway_link,40,False,191.89200000000002,"LINESTRING (-8.6420446 41.168347, -8.6422246 41.1683448, -8.6423839 41.1683181, -8.642724 41.1682099, -8.6429037 41.1682018, -8.6430445 41.1682272, -8.6432475 41.1683211, -8.6437937 41.168776, -8.6438594 41.1689201)",,,,,,,,3
25504027,1243857999,0,"[4256491, 108390772, 479127839]",True,2,motorway_link,70,False,118.915,"LINESTRING (-8.6415867 41.1668853, -8.6417347 41.1669968, -8.6423525 41.1675121, -8.6425536 41.1676685)",,yes,no,,,,,4
25504163,25504183,0,"[479198379, 479198374]",True,3,trunk,90,False,77.19,"LINESTRING (-8.6224058 41.1742319, -8.6224311 41.1745623, -8.6224443 41.1749254)","['EN 14;EN 13', 'EN 14']",,,Via Norte,,,,5
25504183,2486710630,0,"[479198378, 427967026, 1189270215]",True,4,trunk,90,False,272.903,"LINESTRING (-8.6224443 41.1749254, -8.622428 41.1757767, -8.6223898 41.1764927, -8.6223626 41.1770772, -8.6223525 41.1771944, -8.6223441 41.1773783)","['EN 14;EN 13', 'EN 14']",,no,Via Norte,,,,6
25507552,413275483,0,"[35006698, 34711004]",True,3,motorway,80,False,560.14,"LINESTRING (-8.5835683 41.166241, -8.5833393 41.1661137, -8.5830903 41.1659372, -8.5827766 41.1656524, -8.5825702 41.1653826, -8.5815846 41.1635853, -8.5814169 41.1632622, -8.5813554 41.1631437, -8.5812732 41.1629297, -8.5812285 41.1627076, -8.581208 41.1625507, -8.5812436 41.1622154, -8.5813189 41.161894, -8.5813789 41.1617012)","['IP1', 'IC 23;A 20']",yes,,Via de Cintura Interna,,,,7
25507552,409114759,0,"[34884993, 480148036, 497147261]",True,"['1', '2']",motorway_link,"['40', '50']",False,283.215,"LINESTRING (-8.5835683 41.166241, -8.5833186 41.1659875, -8.5831143 41.1657569, -8.5827442 41.165301, -8.5823861 41.1646697, -8.5822294 41.1644037, -8.5821837 41.1642204, -8.582209 41.1639651)",,yes,,,,,,8
25507559,1731168926,0,480148045,True,3,motorway,80,False,321.704,"LINESTRING (-8.5810576 41.1626066, -8.5810984 41.1628018, -8.5811456 41.1630178, -8.5812089 41.1631812, -8.5812642 41.1632991, -8.5814151 41.1636211, -8.582343 41.1653233)",IC 23;A 20,yes,,Via de Cintura Interna,,,,9
25507559,413301102,0,"[35260650, 484778540]",True,1,motorway_link,,False,174.73900000000003,"LINESTRING (-8.5810576 41.1626066, -8.5810103 41.162892, -8.5810297 41.1630648, -8.5810394 41.1631419, -8.581035 41.163203, -8.5809648 41.1633181, -8.5808331 41.1634598, -8.5807821 41.1635456, -8.5807471 41.16363, -8.5807127 41.1637203, -8.580687 41.16376, -8.5806276 41.1638116, -8.5805804 41.1638447, -8.5804783 41.1638938, -8.5803064 41.1639561)",,viaduct,,,,,,10
25507576,787318148,0,"[508107803, 29036532, 1297166253, 1297166254]",True,4,motorway,80,False,273.115,"LINESTRING (-8.5825433 41.1541532, -8.5822803 41.153765, -8.5820684 41.1535031, -8.581844 41.1532555, -8.5818234 41.1532373, -8.5810891 41.1525879, -8.5807037 41.152263, -8.5806205 41.1521831)",IP 1,viaduct,,Via de Cintura Interna,,,,11
25507576,4753795450,0,"[508107800, 508107795, 1177120141]",True,"['1', '2']",motorway_link,"['50', '70']",False,142.39200000000002,"LINESTRING (-8.5825433 41.1541532, -8.5824816 41.1539005, -8.5823354 41.1536977, -8.5822021 41.1534952, -8.5821254 41.1533651, -8.5821019 41.1532406, -8.5821219 41.1531339, -8.5821462 41.1530376, -8.5822087 41.1529574)",,yes,,Nó de Bonjóia,,,,12
25507581,787318149,0,"[508107818, 484986691]",True,5,motorway,80,False,60.465,"LINESTRING (-8.5801756 41.1520755, -8.5805065 41.1523496, -8.5806597 41.152479)",A20,viaduct,,Via de Cintura Interna,,,,13
25507582,114310699,0,12543151,True,1,motorway_link,50,False,307.46200000000005,"LINESTRING (-8.5797087 41.1513862, -8.5796589 41.1512584, -8.5795571 41.1511023, -8.5794506 41.1509408, -8.5793927 41.1508226, -8.579356 41.1507253, -8.5793388 41.1506324, -8.5793314 41.1505115, -8.5793366 41.1504128, -8.5793697 41.1502845, -8.5794628 41.1500874, -8.5795878 41.1499378, -8.5796629 41.1498592, -8.5797499 41.1497896, -8.5798412 41.1497334, -8.5799349 41.1496899, -8.5800975 41.1496165, -8.5802796 41.1495364, -8.5804331 41.1494638, -8.5806298 41.1493624, -8.5808614 41.1491995)",,,,Nó do Freixo,,,,14
25507582,314545211,0,"[497150664, 35446606]",True,"['4', '5']",motorway,80,False,239.09,"LINESTRING (-8.5797087 41.1513862, -8.579591 41.1513017, -8.5794589 41.1511703, -8.5793515 41.1510393, -8.5792523 41.1508912, -8.5791675 41.1507136, -8.5791058 41.1505348, -8.5790521 41.1503305, -8.5790221 41.1500828, -8.5790147 41.1498879, -8.5790455 41.1495305, -8.5790716 41.1493722)",IP 1,viaduct,,Via de Cintura Interna,,,,15
25507591,4685582565,0,"[497150661, 497150663]",True,5,motorway,80,False,172.699,"LINESTRING (-8.5793775 41.1483683, -8.5792124 41.1485993, -8.5789795 41.1489896, -8.5788626 41.1493052, -8.5788068 41.1495113, -8.5787907 41.1496759, -8.5787812 41.1498356)",A20,viaduct,,Via de Cintura Interna,,,,16
25620516,25620518,0,8366893,True,,residential,,False,63.916,"LINESTRING (-8.6140445 41.1499575, -8.6142998 41.1499465, -8.6147181 41.1499286, -8.6148066 41.1499243)",,,,Rua da Conceição,4,,,17
25620516,1386051842,0,8366896,True,,residential,,False,191.07600000000002,"LINESTRING (-8.6140445 41.1499575, -8.6140568 41.1498992, -8.6143119 41.1486948, -8.6143324 41.148557, -8.6143601 41.1484222, -8.61437 41.1483742, -8.6143805 41.1483296, -8.614397 41.1482599)",,,,Rua de José Falcão,4,,,18
25620518,2852022741,0,31060211,True,,residential,,False,111.654,"LINESTRING (-8.6148066 41.1499243, -8.6147925 41.1501202, -8.6147189 41.1508604, -8.6147127 41.1509259)",,,,Rua do General Silveira,,,,19
25620570,1106006327,0,34607518,True,,residential,50,False,303.116,"LINESTRING (-8.6120177 41.152994, -8.6120989 41.1502687)",,,yes,Rua do Almada,,,,20
25620570,25632376,0,8367098,True,2,residential,,False,202.158,"LINESTRING (-8.6120177 41.152994, -8.6108785 41.1522982, -8.6102726 41.1519282, -8.6101425 41.1518487)",,,,Rua do Alferes Malheiro,,,,21
25620653,25620570,0,34607518,True,,residential,50,False,67.076,"LINESTRING (-8.6119957 41.153597, -8.6120177 41.152994)",,,yes,Rua do Almada,,,,22
25620653,4685392598,0,34607492,True,2,secondary,,False,45.67,"LINESTRING (-8.6119957 41.153597, -8.6115322 41.1535869, -8.611451 41.1535795)",,,,Rua de Gonçalo Cristóvão,,,,23
25620737,1386051849,0,1001166329,True,2,secondary,,False,13.609,"LINESTRING (-8.6121592 41.1479515, -8.6122867 41.1480274)",,,,Rua Elísio de Melo,,,,24
